n_samples,RMSE mean,RMSE std,R2 mean,R2 std
3.0,9.277045918835828,1.218259049031555,-0.24901931988016673,0.32252816176765825
6.0,8.279436685201247,1.2715153457096553,-0.003515968337008084,0.31035242821901976
9.0,7.025330244488009,1.2465102749346617,0.27156846341463864,0.27433473482681975
12.0,6.01006544554437,1.113847808769006,0.46609395296165596,0.20520092619707217
15.0,5.216819708249469,0.9749031561629292,0.5982326261658546,0.1600982067599619
18.0,4.6684242394192195,0.8502631562110742,0.6791561812655128,0.11962387933230353
21.0,4.248203936893245,0.7598862557933294,0.7343879645887728,0.09883420372568617
24.0,3.838486823550366,0.6641261055220917,0.7835402249668788,0.07709414921215633
27.0,3.538419292142062,0.5599740549237547,0.8171710002944705,0.05751183057465654
30.0,3.3153463005720014,0.5190438070558315,0.8398429196999837,0.04884156034528876
33.0,3.114101122911998,0.4720256902131485,0.8587660901707443,0.04239513928233369
36.0,2.9676879181745845,0.4148272582940106,0.8721395535973957,0.034721078350043656
39.0,2.8276215674153327,0.37560566861308825,0.8841848045735273,0.029108940717298228
42.0,2.7366987711647233,0.35945434833537415,0.8914716999407101,0.027561298662120568
45.0,2.649769765910084,0.33270898399288723,0.8983832727676488,0.024628021029163026
48.0,2.582253115482095,0.3174203605545141,0.9034683232071905,0.023143017753692235
51.0,2.523049456701727,0.30024400934203094,0.9079736551191108,0.021203183467952517
54.0,2.455343895922054,0.282497238316606,0.9128807561727855,0.01951976727612289
57.0,2.417392881395046,0.2669503300967772,0.9156375216476208,0.018091370748701083
60.0,2.375850729032239,0.26114335042242853,0.9185304592408784,0.017387071025489444
63.0,2.340615691952996,0.2442750713044404,0.9210005323997621,0.016062500048819678
66.0,2.310681226050678,0.2266831006703278,0.9230527460078735,0.014845986249244754
69.0,2.275598453598274,0.2152410406079513,0.925399331276509,0.013923206341075042
72.0,2.2445557113121573,0.21155014479300263,0.9274424922182439,0.013362668066078283
75.0,2.219492540720329,0.21185818669190914,0.928991594902284,0.013581895183837386
78.0,2.1972139080496076,0.2106670910506121,0.9304387404406982,0.013184313061276935
81.0,2.184701499087341,0.20531241258216323,0.9312424653401667,0.012754592778413837
84.0,2.1762199391655,0.20393521147333624,0.9317714514967154,0.012690983191686423
87.0,2.161006699127295,0.20462352842419765,0.9327104059852138,0.012657562687327858
90.0,2.1439757998591227,0.20210730876943844,0.9337624757544712,0.012536636198662415
93.0,2.132226790991399,0.19643310759765745,0.9345206675004986,0.01198125633037508
96.0,2.117898672142133,0.1960667944483142,0.9353950229142236,0.011826129930234765
99.0,2.106342087258164,0.19187645348104657,0.9361166270022423,0.011453610215716831
