n_samples,RMSE mean,RMSE std,R2 mean,R2 std,RMSE diff mean,RMSE diff std,R2 diff mean,R2 diff std
3.0,10.049942877522312,1.2632690245507925,-0.47065203912343073,0.40363900962727406,-0.7728969586864828,1.8057258801698817,-0.22163271924326375,0.5260556984967721
6.0,8.793943431081473,0.9421312558337396,-0.11630052495643123,0.24001984290338021,-0.5145067458802292,1.5973485910744292,-0.11278455661942312,0.3952067005670941
9.0,7.044225509365961,1.1271881786992413,0.27622423306304883,0.22709731742077616,-0.01889526487794676,1.7115962901096478,0.004655769648410167,0.36768354798730274
12.0,5.364230028451463,0.7223593489367501,0.58355494750864,0.1030030087690019,0.6458354170929077,1.3152633423126883,0.11746099454698446,0.2305749009273304
15.0,4.138263369113009,0.50581418906388,0.7518977428667684,0.05957718253991475,1.078556339136459,1.0970297567675307,0.153665116700914,0.17286459300174709
18.0,3.5031916734069983,0.36034283983878007,0.8232614446067612,0.03419161789316782,1.1652325660122198,0.9257208951891799,0.14410526334124837,0.12753996742243323
21.0,3.05689112789192,0.31112631093558163,0.8650756693329262,0.02795025474920772,1.1913128090013252,0.8186673829521525,0.13068770474415387,0.10375977046260434
24.0,2.7799991372378274,0.2544282579709356,0.8887301413312828,0.020204580976202684,1.0584876863125383,0.6918423380462342,0.10518991636440374,0.07936717381923826
27.0,2.5792428397062617,0.22046322485840666,0.9043302436745304,0.016157710793129734,0.9591764524358009,0.5729074852859877,0.08715924338006044,0.05896007337333987
30.0,2.4522469227550534,0.1995568891145674,0.9135292966831119,0.01390507027642022,0.8630993778169482,0.5133991312268245,0.07368637698312815,0.04931169871557787
33.0,2.364547786164532,0.17904016756151117,0.9196273307866272,0.012195402979471335,0.7495533367474656,0.47117009568665164,0.060861240615882356,0.04275685321680635
36.0,2.2964755227667366,0.17652605290765613,0.9241549716411395,0.01182943574334753,0.6712123954078482,0.40188890284100715,0.05201541804374301,0.03433003952086128
39.0,2.2563978817749897,0.17717117945946256,0.926796904432196,0.011481392610364944,0.571223685640343,0.3536236286889247,0.04261209985866894,0.028353841186878736
42.0,2.227196371389296,0.17160499234931206,0.9286682867388967,0.01109835222079687,0.5095023997754285,0.33144350912636944,0.03719658679818707,0.026171986020313086
45.0,2.2076033204764354,0.1698197221042893,0.9298720034927367,0.011249331531378968,0.44216644543364936,0.3038335910481269,0.0314887307250877,0.023212575630437673
48.0,2.184664525910581,0.16570905657840268,0.9313471825607532,0.010841338759134617,0.3975885895715144,0.2952077853630658,0.02787885935356316,0.022069837275093044
51.0,2.1677748809691444,0.15755507311973158,0.9324400121566698,0.010164759516687251,0.3552745757325835,0.27497982218171974,0.024466357037558454,0.02003522140416321
54.0,2.1519020783390843,0.15434600530667855,0.9334145511064265,0.010047350594985042,0.3034418175829698,0.26928200670102526,0.020533794933642033,0.01901692802563281
57.0,2.136611970224144,0.14978687732948487,0.9343758498144183,0.009748494217718109,0.28078091117090087,0.24885590775502994,0.018738328166797602,0.017332902319783575
60.0,2.124756525718833,0.15735013324909855,0.9350516998896293,0.010201439334707095,0.2510942033134085,0.24466256961714236,0.016521240648751018,0.016659847927087988
63.0,2.10703771192527,0.15631652669363544,0.9361220715286755,0.01006241046017226,0.23357798002772623,0.22513010736723177,0.015121539128913872,0.015141093407648406
66.0,2.0972955152642148,0.14972723102269989,0.9367362209850473,0.009597295079989503,0.21338571078646365,0.2045951163954366,0.013683474977173584,0.013532634456568719
69.0,2.0879930234311295,0.14823117214760684,0.9372955109690382,0.009495505678548975,0.18760543016714595,0.19178896264721376,0.01189617969252884,0.01249132348272941
72.0,2.0753259147465464,0.14661507124122675,0.9380494819456549,0.00939593034434804,0.16922979656561093,0.18679794026413907,0.010606989727411,0.012044762946978333
75.0,2.062921233421953,0.14467882176122762,0.9387986036504345,0.009202202262997462,0.15657130729837737,0.1853550848878458,0.009807008748150913,0.012019533242023582
78.0,2.0550866752754526,0.14025165218746666,0.9392754404054128,0.008923260846745036,0.14212723277415606,0.18069607787194894,0.008836699964714213,0.011571727476665544
81.0,2.0496489746449686,0.13754698110103664,0.9396022774198773,0.008805764721123915,0.13505252444237328,0.17501721788533195,0.008359812079710646,0.011021976603341477
84.0,2.038604528176019,0.1369476084082491,0.9402673631447591,0.008602020789276868,0.13761541098948102,0.16954451371770538,0.008495911648043298,0.010709439690733295
87.0,2.038225218604916,0.1412714112986045,0.9402814390755698,0.008791082475152392,0.12278148052237857,0.16819032026165964,0.0075710330903565074,0.010565014014070534
90.0,2.0349859953804703,0.14507238929946203,0.9404610136491623,0.008934428003586917,0.10898980447865313,0.16123831122317364,0.006698537894690979,0.010099630554206453
93.0,2.0274769604254548,0.14666828735920795,0.940880056961321,0.00905980851425253,0.10474983056594361,0.14986382670792436,0.006359389460822559,0.009233788062810933
96.0,2.022754200660616,0.1447827156223142,0.9411575135272305,0.008974856540035799,0.09514447148151799,0.14572797309339933,0.005762490613006979,0.008906040752284869
99.0,2.019790240162742,0.1480182709131049,0.941313942534906,0.00911992080100075,0.08655184709542192,0.13655763378620833,0.005197315532663741,0.008241190810341642
