n_samples,RMSE mean,RMSE std,R2 mean,R2 std,RMSE diff mean,RMSE diff std,R2 diff mean,R2 diff std
3.0,14.502211664385419,2.116972105558009,0.2857496518016719,0.19358024928323866,-0.7076049034951314,2.8544458968959123,-0.05551818482763855,0.27603025040204143
6.0,12.519612536846502,1.5837201692053018,0.465784844736738,0.14417224327199113,-0.2559433177941299,2.1593187642038525,-0.01897995899344596,0.19360722208845957
9.0,10.69185669099943,1.4898632427825371,0.6091381589836036,0.11760474991720375,0.5600592710181587,2.195016775324564,0.04227230880187311,0.1743032791181262
12.0,9.573311305570861,1.1690352373102,0.6874264661980982,0.08458069268337937,0.6904991116829244,1.8326605199290014,0.045695956376063156,0.12597697424707935
15.0,8.843744901719957,0.9765847828012888,0.7352819725904441,0.05773023209297378,0.7242214578589199,1.428599063254478,0.0458379756509111,0.08783049911654932
18.0,8.283565077119167,0.9246523308726623,0.7680454401723316,0.048970016703293894,0.792753332090631,1.3772408181125075,0.0477760143995377,0.08242871827055633
21.0,7.867829693690442,0.7818351043712624,0.7908153838382398,0.04235545074934969,0.8449653839911057,1.1953223351387647,0.04919025314488621,0.07105879605587906
24.0,7.497619686411509,0.7164945175144021,0.8094707175614586,0.040550148693935355,0.8202765616797378,1.1124388226004205,0.04540283630380961,0.062231851671078114
27.0,7.288292663395796,0.6182728617606325,0.8205563404860057,0.032593770758940085,0.7803653936587022,0.9443724349949835,0.04208115026247729,0.05284323751260733
30.0,7.13976151168382,0.5757524898733322,0.8278313341036936,0.030158750951705966,0.6799444919844403,0.9429022142040077,0.0351727593883962,0.04905783827232881
33.0,6.998588341624813,0.5696977174010968,0.8345471757182231,0.028915707737434255,0.6433342448983005,0.963481932594918,0.032660187606382646,0.0481079545504781
36.0,6.937208232351834,0.5741849477155495,0.8373406845354939,0.02919640534710676,0.5615082134254265,0.9214456450740147,0.027706890721242175,0.044703117045443524
39.0,6.856925214821514,0.5692367868608526,0.8410995406689671,0.028405268950045907,0.5289772584271637,0.8831190899638058,0.025905916304367782,0.04284250158365501
42.0,6.7681955462175765,0.5495160318673675,0.8451122445420773,0.02816221549131773,0.543287948340164,0.816674686008566,0.02619255150055729,0.03917074381147904
45.0,6.72683528297261,0.5356460723940661,0.8468151071211864,0.028810484469413287,0.46053797829559656,0.7776010355331225,0.021626792953514967,0.03662005508607628
48.0,6.699532863455116,0.5292896958649052,0.8479211900676771,0.029417769409383517,0.3922284539115951,0.6965503895918504,0.018009616965503062,0.03273914164582669
51.0,6.645121594832807,0.5002995494145683,0.8504550704375842,0.028097693282368854,0.3616517828569272,0.6568784063361949,0.016478339715687143,0.03073619301725509
54.0,6.610578422986586,0.48786285987452316,0.8520322097043084,0.02763061584783328,0.30199572027458993,0.6302447895929947,0.013425203805504634,0.029014502005192504
57.0,6.564692004455586,0.45885478264522955,0.854210204127186,0.025853259073566143,0.27696883354782914,0.5913074516706284,0.01235452571444232,0.027178856171048715
60.0,6.5266925680423125,0.4692664092341194,0.8559375434825317,0.025482168535801528,0.2582512902761204,0.6003982042180495,0.011532726261432842,0.027137890657470153
63.0,6.476041283593322,0.45770408677366775,0.8582362507337343,0.024401200908393535,0.27064426864202035,0.5465309890236505,0.012003915783998557,0.024575304487945728
66.0,6.442055275690218,0.4359801249016373,0.8596626311515352,0.02420103308352192,0.23786815224031405,0.506920622655284,0.010425056417666721,0.022648003693541044
69.0,6.411633575016677,0.4346112068796374,0.8609302700362194,0.024409070283948873,0.2214166292383794,0.4590700838007451,0.009584810656634852,0.020731560193401503
72.0,6.388018915628827,0.42004678190962563,0.8619593340516019,0.024026659698316737,0.2133033491461186,0.44810096150448664,0.009076507413541532,0.020492689061048223
75.0,6.351901508249239,0.41656851536858475,0.8635406722854533,0.023546507259046952,0.21769407592390724,0.4317189949004998,0.009365468502362273,0.019858305249964563
78.0,6.317296379465754,0.41248934883684446,0.8650664443541223,0.02286301673928222,0.20302565891482094,0.4050971547962296,0.008743313363912774,0.018504089189706772
81.0,6.29557297814099,0.4122659154251018,0.8660457326597695,0.02236331739545869,0.20003601114939035,0.3740855205704437,0.008613325407057644,0.017330182518449942
84.0,6.268640144069376,0.4211043823986982,0.8671653830893942,0.02253771383720999,0.19876131608350714,0.3778567679531298,0.008466663147560853,0.01729376405490462
87.0,6.2451061230259635,0.4153152746937383,0.868177010379085,0.02222905169943412,0.20213270618606838,0.3578863822508736,0.008543218735377724,0.015989801267636636
90.0,6.229789922708377,0.4102536254796642,0.8688315689917147,0.022003825790649165,0.19782190043444436,0.3363334056892689,0.008311138429523463,0.014865250818313785
93.0,6.212825248963481,0.39966125258262525,0.8695883616752699,0.021573924075573465,0.1934015588942559,0.3362902034082184,0.00803976807809795,0.014748216869972595
96.0,6.20539834966225,0.4070198931049733,0.8698447997271426,0.022133249885449947,0.16735346380159896,0.33297093682014756,0.0068703681696065345,0.014410686297822276
99.0,6.192109158224039,0.4069538964529661,0.8704830544169754,0.02140582444219852,0.1615967711692282,0.32457784429339803,0.006737870984948563,0.013648657828679198
