alpha,RMSE kJ/mol,R2
0.001,8.21191403334217,0.7626976702414672
0.01,7.220920810899723,0.8163103393196918
0.1,6.583304109126772,0.8476033793553311
1.0,5.998437374469163,0.8736494630676184
2.0,6.005341273631933,0.8739874475487799
3.0,6.09621521217123,0.8703129245900183
