alpha,RMSE kJ/mol,R2
0.001,2.3559150341280732,0.9167352291290669
0.01,2.295361717004729,0.9213128963910548
0.1,2.1094586664793455,0.9332079511105865
1.0,1.9649391302248724,0.9425596436662549
2.0,2.054444430710453,0.9374278979082311
3.0,2.250942257273706,0.9250585798049613
