n_samples,RMSE kJ/mol,R2
0.001,8.981709753180462,0.7151661500906508
0.01,7.4635705221158535,0.804072651865036
0.1,6.654435074912449,0.8443965812308871
1.0,6.157958019951157,0.8663820111343055
2.0,6.203491457251052,0.8641434523642314
3.0,6.3175053623501425,0.8590524936831464
